Age Group,Gender,Highest / Current level of Education,Employment Status / Extra Activities,Academic Discipline,What post-secondary institution are you currently enrolled in? ,Describe your ChatGPT usage,What purpose does ChatGPT serve you? Select all that apply. ,Rate the effectiveness of ChatGPT in academia in terms of reliability,Using ChatGPT is a form of plagiarism.,How can academic institutions effectively use ChatGPT?,What are the main issues surrounding the use of ChatGPT in higher education?,ChatGPT should be permitted in academic settings.,What is your perception about the future use of ChatGPT in education as a learning tool?
18-25,Male,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,"Research tool, Creative tool, Resource for general information",3 (Neutral),2 (Not Plagiarism),"Research aid (generating ideas), Providing answers for academic work, Offer a personalized learning experience","Over reliance on technology, Social disconnection, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
18-25,Male,Undergraduate (Bachelors),Employed,Business,Toronto Metropolitan University,I am aware of it but I have not used it,"Research tool, Creative tool, Entertainment/leisure purposes, Resource for general information",3 (Neutral),4 (Plagiarism),"Research aid (generating ideas), Offer a personalized learning experience","Over reliance on technology, Social disconnection, Academic dishonesty (plagiarism)","No, the use of ChatGPT should be prohibited in academia.",2 (Not That Good)
Less than 18,Female,High school diploma or equivalent,Educational Clubs,Social Sciences,None,Rare,"Writing tool, Educational tool, Entertainment/leisure purposes",3 (Neutral),3 (Neutral),"Research aid (generating ideas), Content generation, Language learning, Offer a personalized learning experience","Spread of misinformation, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism), Job loss (replace educators)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Male,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Other,Occasional,"Writing tool, Research tool, Educational tool",2 (Not That Effective),4 (Plagiarism),"Research aid (generating ideas), Content generation, Language learning","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
18-25,Female,Undergraduate (Bachelors),Unemployed,Psych but as a bachelor of science ,Other ,Rare,Entertainment/leisure purposes,2 (Not That Effective),4 (Plagiarism),"Research aid (generating ideas), Language learning, ","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking)",I have a neutral stance on this.,2 (Not That Good)
18-25,Female,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,I haven't used it,3 (Neutral),4 (Plagiarism),"Teaching aid (instructor lesson plans), Grading/feedback tool, Virtual after-hours tutoring, Language learning","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","No, the use of ChatGPT should be prohibited in academia.",2 (Not That Good)
18-25,Male,Undergraduate (Bachelors),Other commitments,Natural Sciences and Applied Sciences,Other,I am aware of it but I have not used it,"Research tool, Entertainment/leisure purposes",2 (Not That Effective),4 (Plagiarism),"Research aid (generating ideas), Virtual after-hours tutoring, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","No, the use of ChatGPT should be prohibited in academia.",1 (Very Bad)
18-25,Female,Undergraduate (Bachelors),Employed,Social Sciences,Other,Occasional,"Writing tool, Research tool, Life advice",4 (Pretty Effective),2 (Not Plagiarism),"Teaching aid (instructor lesson plans), Grading/feedback tool, Virtual after-hours tutoring, Content generation, Language learning","Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism), Job loss (replace educators)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
26-34,Female,Graduate (Masters/PhD),Employed,Social Sciences,Other,Rare,"Writing tool, Creative tool, Entertainment/leisure purposes, Resource for general information",3 (Neutral),3 (Neutral),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Virtual after-hours tutoring, Content generation, Language learning, Offer a personalized learning experience","Social disconnection, Ethical concerns (weakens critical thinking), Job loss (replace educators)","No, the use of ChatGPT should be prohibited in academia.",2 (Not That Good)
18-25,Male,Undergraduate (Bachelors),Educational Clubs,Business,Other,Rare,"Writing tool, Research tool, Entertainment/leisure purposes, Life advice",2 (Not That Effective),5 (Plagiarism),"Research aid (generating ideas), Virtual after-hours tutoring, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Privacy concerns, Academic dishonesty (plagiarism), Job loss (replace educators)","No, the use of ChatGPT should be prohibited in academia.",1 (Very Bad)
26-34,Female,Professional degree,Employed,Social Sciences,Other,I am aware of it but I have not used it,"Creative tool, Entertainment/leisure purposes, Resource for general information, Life advice",2 (Not That Effective),3 (Neutral),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Offer a personalized learning experience","Social disconnection, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism), Job loss (replace educators)","No, the use of ChatGPT should be prohibited in academia.",2 (Not That Good)
26-34,Male,Graduate (Masters/PhD),Employed,Natural Sciences and Applied Sciences,Other,Occasional,"Research tool, Entertainment/leisure purposes",3 (Neutral),5 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Virtual after-hours tutoring, Offer a personalized learning experience","Ethical concerns (weakens critical thinking), Privacy concerns, Academic dishonesty (plagiarism)","No, the use of ChatGPT should be prohibited in academia.",2 (Not That Good)
18-25,Female,Undergraduate (Bachelors),Community Service,Humanities,Other,Occasional,"Writing tool, Research tool, Life advice",4 (Pretty Effective),2 (Not Plagiarism),"Research aid (generating ideas), Content generation, Language learning, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Social disconnection, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
18-25,Female,Professional degree,Employed,Social Sciences,None,Occasional,"Writing tool, Educational tool, Creative tool",3 (Neutral),3 (Neutral),"Research aid (generating ideas), Grading/feedback tool, Providing answers for academic work, Content generation, Language learning","Over reliance on technology, Spread of misinformation, Social disconnection, Privacy concerns, Academic dishonesty (plagiarism), Job loss (replace educators)","Yes, students and educators should have full unregulated access to the resource.",3 (Okay)
18-25,Male,Undergraduate (Bachelors),Employed,Business,Other,Occasional,"Writing tool, Research tool, Educational tool, Creative tool, Entertainment/leisure purposes, Resource for general information",3 (Neutral),2 (Not Plagiarism),"Teaching aid (instructor lesson plans), They can't","Over reliance on technology, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Female,Undergraduate (Bachelors),Other commitments,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Rare,"Research tool, Entertainment/leisure purposes, Resource for general information",4 (Pretty Effective),4 (Plagiarism),"Research aid (generating ideas), Providing answers for academic work, Virtual after-hours tutoring, Language learning, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",2 (Not That Good)
18-25,Female,Undergraduate (Bachelors),Educational Clubs,Business,Other,Occasional,"Research tool, Creative tool, Resource for general information",4 (Pretty Effective),2 (Not Plagiarism),"Research aid (generating ideas), Content generation, Language learning","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism), Job loss (replace educators)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
Less than 18,Male,High school diploma or equivalent,Employed,Natural Sciences and Applied Sciences,None,I am aware of it but I have not used it,I haven't used it,3 (Neutral),3 (Neutral),They can't,Academic dishonesty (plagiarism),I have a neutral stance on this.,3 (Okay)
18-25,Male,Undergraduate (Bachelors),Unemployed,Business,Toronto Metropolitan University,Rare,Writing tool,3 (Neutral),4 (Plagiarism),"Grading/feedback tool, Language learning","Over reliance on technology, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",1 (Very Bad)
18-25,Female,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,"Research tool, Creative tool, Resource for general information",4 (Pretty Effective),2 (Not Plagiarism),"Research aid (generating ideas), Offer a personalized learning experience","Over reliance on technology, Social disconnection, Academic dishonesty (plagiarism)","No, the use of ChatGPT should be prohibited in academia.",2 (Not That Good)
18-25,Male,Undergraduate (Bachelors),Employed,Natural Sciences and Applied Sciences,None,I am aware of it but I have not used it,I haven't used it,3 (Neutral),3 (Neutral),They can't,Academic dishonesty (plagiarism),I have a neutral stance on this.,3 (Okay)
18-25,Male,Undergraduate (Bachelors),Employed,Natural Sciences and Applied Sciences,None,I am aware of it but I have not used it,I haven't used it,3 (Neutral),4 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Language learning, Offer a personalized learning experience","Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
18-25,Female,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Other ,Occasional,"Educational tool, Resource for general information",3 (Neutral),3 (Neutral),"Providing answers for academic work, Language learning","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
Less than 18,Female,High school diploma or equivalent,Employed,Natural Sciences and Applied Sciences,None,I am aware of it but I have not used it,I haven't used it,2 (Not That Effective),3 (Neutral),"Grading/feedback tool, Virtual after-hours tutoring, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Job loss (replace educators)",I have a neutral stance on this.,3 (Okay)
18-25,Male,Undergraduate (Bachelors),Sports,Business,Other,Occasional,Research tool,2 (Not That Effective),5 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Content generation, Language learning","Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","No, the use of ChatGPT should be prohibited in academia.",2 (Not That Good)
Less than 18,Female,High school diploma or equivalent,Unemployed,Humanities,Other,Rare,"Creative tool, Resource for general information",3 (Neutral),5 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Providing answers for academic work, Offer a personalized learning experience","Over reliance on technology, Social disconnection, Academic dishonesty (plagiarism), Job loss (replace educators)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
26-34,Female,Professional degree,Employed,Social Sciences,None,I am aware of it but I have not used it,"Writing tool, Creative tool, Life advice",3 (Neutral),4 (Plagiarism),"Virtual after-hours tutoring, Language learning, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking)","No, the use of ChatGPT should be prohibited in academia.",2 (Not That Good)
18-25,Female,Undergraduate (Bachelors),Community Service,Social Sciences,Other ,Occasional,"Writing tool, Creative tool, Resource for general information",4 (Pretty Effective),3 (Neutral),"Research aid (generating ideas), Language learning, They can't","Over reliance on technology, Spread of misinformation, Social disconnection, Job loss (replace educators)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Female,Undergraduate (Bachelors),Employed,Social Sciences,None,I am aware of it but I have not used it,I haven't used it,2 (Not That Effective),4 (Plagiarism),"Research aid (generating ideas), Content generation",Academic dishonesty (plagiarism),"Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Female,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Rare,"Writing tool, Educational tool, Life advice",3 (Neutral),4 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Privacy concerns, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
26-34,Male,College / associate degree,Employed,Business,None,I am aware of it but I have not used it,I haven't used it,3 (Neutral),2 (Not Plagiarism),"Research aid (generating ideas), Grading/feedback tool, Virtual after-hours tutoring","Over reliance on technology, Social disconnection, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism), Job loss (replace educators)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Female,Undergraduate (Bachelors),Community Service,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Occasional,"Research tool, Creative tool, Entertainment/leisure purposes",4 (Pretty Effective),3 (Neutral),"Research aid (generating ideas), Offer a personalized learning experience","Over reliance on technology, Privacy concerns, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
18-25,Female,Undergraduate (Bachelors),Educational Clubs,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,I haven't used it,3 (Neutral),3 (Neutral),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Virtual after-hours tutoring, Language learning, Offer a personalized learning experience","Spread of misinformation, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Female,Undergraduate (Bachelors),Employed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Rare,"Research tool, Creative tool, Entertainment/leisure purposes, Resource for general information",4 (Pretty Effective),3 (Neutral),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Providing answers for academic work, Virtual after-hours tutoring, Content generation, Language learning, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Privacy concerns, Academic dishonesty (plagiarism), Job loss (replace educators)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
26-34,Female,Undergraduate (Bachelors),Employed,Natural Sciences and Applied Sciences,None,I am aware of it but I have not used it,I haven't used it,3 (Neutral),5 (Plagiarism),"Research aid (generating ideas), Language learning","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","No, the use of ChatGPT should be prohibited in academia.",2 (Not That Good)
18-25,Female,College / associate degree,Employed,Natural Sciences and Applied Sciences,None,I am aware of it but I have not used it,I haven't used it,2 (Not That Effective),4 (Plagiarism),"Teaching aid (instructor lesson plans), Providing answers for academic work","Over reliance on technology, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
